from,to,mode,name,description
011212006142,011212006143,1,Świątniki Górne,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
011212014022,011212014023,1,Koszyce,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
011212014032,011212014033,1,Nowe Brzesko,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
011212205032,011212205033,1,Bobowa,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
011212402032,011212402033,1,Czchów,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
011212404072,011212404073,1,Szczucin,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
011212416012,011212416013,1,Ciężkowice,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
011212416052,011212416053,1,Radłów,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
011212416062,011212416063,1,Ryglice,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
011212416132,011212416133,1,Wojnicz,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
011212416142,011212416143,1,Zakliczyn,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
012414604122,012414604123,1,Olsztyn,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
012414705062,012414705063,1,Sośnicowice,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
012414911032,012414911033,1,Krzanowice,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
020811404072,020811404073,1,Otyń,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
023015706012,023015706013,1,Jaraczewo,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
023015707052,023015707053,1,Koźminek,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
023015707082,023015707083,1,Opatówek,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
023015720012,023015720013,1,Chocz,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
023015720032,023015720033,1,Dobrzyca,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
