fid,teryt_id,area
1,2404152,631600.589316472
2,2404152,867.206253021955
3,2404152,4657060.4219832
4,2404152,7639.84563213587
5,2404152,1098344.81487104
6,1207082,719979.051650152
7,1434011,208.276150688529
8,1434011,541078.002972215
9,1434011,8906722.40839416
10,1434011,350.03218306601
11,1434011,245284.978985488
12,1811022,537216.363250941
13,1811022,971422.27828332
14,1811022,441157.124849737
15,1811022,671574.637949727
16,1811022,367498.818199337
17,2814023,3168247.44430382
18,2814023,258275.223749891
19,2814023,256820.160400182
20,2814023,254161.011299491
21,2814023,253251.713150114
22,2814023,343636.977050602
23,2814023,258971.204649121
24,2814023,67.9310774356127
25,2814023,250792.428299963
26,2814023,464407.064549714
27,2814023,333692.957199574
28,2814023,287887.062950432
29,2814023,264447.63445054
30,2814023,335743.330949903
31,2814023,252031.299699917
32,1209062,627.041608091444
33,1209062,5811.77447270416
34,1209062,3264.46526905056
35,1209062,671092.842504371
36,1209062,294007.808743497
37,1209062,845085.78880024
38,1209062,344050.847549796
39,1209062,308425.986449283
40,1209062,172321.616636784
41,1609103,301072.091050029
42,1609103,257097.300900656
43,1609103,267088.295800224
44,1609103,254963.622950852
45,1609103,255881.675549727
46,1609103,1408942.89040023
47,1609103,283887.810700595
48,1609103,258165.329209544
49,1609103,309820.916450799
50,1609103,408156.887000024
51,1609103,3560.47977113724
52,1609103,1395.62915336341
53,1609103,489234.848600388
54,1609103,289583.814600252
55,1609103,966346.009500921
56,1609103,286277.090299577
57,1609103,383390.793949544
58,1609103,397.057412087917
59,1609103,7.77800641208887
60,1609103,4321.52628435194
61,1609103,9317.97508371994
62,0602142,765288.091548204
63,0602142,356584.250748634
64,0602142,726354.893532708
65,0602142,449468.07790035
66,0602142,1018935.65169928
67,0602142,521644.416501075
68,0602142,15369.953417221
69,0602142,234874.499541309
70,0602142,406227.78970027
71,0602142,1082729.9855451
72,0602142,622061.19425106
73,3022042,328443.744339347
74,3022042,9269.71544350591
75,3022042,345804.073951602
76,3022042,255258.749350369
77,3022042,252731.541450404
78,3022042,810659.146651641
79,3022042,252140.631249845
80,3022042,686324.146850586
81,3022042,264925.06980063
82,2602063,103309.36026454
83,2602063,1400215.91759914
84,2602063,710728.202647448
85,2602063,1762653.91464815
86,2602063,304761.041449696
87,2602063,1445154.08980082
88,2602063,135820.451567095
89,2602063,473744.855398195
90,2602063,448663.202099254
91,2602063,261030.063549608
92,2602063,641362.668999732
93,2602063,572847.272600085
94,2602063,369720.448698997
95,2602063,398340.977999896
96,2602063,292714.865350455
97,2602063,42883.3969579935
98,1420011,256614.423001505
99,1420011,870.283420443535
100,1420011,4967726.84991905
101,1420011,286972.661691276
102,3014022,263543.228249818
103,3014022,265404.91040048
104,3014022,1132985.38145047
105,3014022,253030.011050165
106,3027042,26842.5626605377
107,3027042,264924.721000239
108,3027042,345181.09480074
109,3027042,261192.944467265
110,3027042,355213.019449726
111,3027042,318829.83445026
112,3027042,703752.881120287
113,0616032,262748.288000371
114,0616032,396810.673400298
115,0616032,402359.961500049
116,0616032,250540.342699163
117,0616032,342564.279000312
118,0616032,463172.890649278
119,0616032,149.525593621656
120,0616032,58.2025386467576
121,0616032,1640.53336712345
122,0616032,264961.254098594
123,0616032,500370.027198523
124,3212053,534236.784499586
125,3212053,472841.156599581
126,3212053,3527786.60114624
127,3212053,250943.516800284
128,3212053,449317.152949631
129,3212053,315428.258200407
130,3212053,341401.269399732
131,3212053,300842.759500146
132,3212053,413193.702287238
133,3212053,252016.132200409
134,3212053,252758.139299898
135,3212053,508261.318700075
136,3212053,254501.754899889
137,3212053,257640.840750188
138,3212053,337134.916349679
139,3212053,569362.219750263
140,1006073,972.277545176446
141,1006073,3892.76885761321
142,1006073,6.38110350444913
143,1006073,4962100.42075811
144,1006073,4993.3637791574
145,1006073,689825.052649409
146,1006073,58247.3215086609
147,1006073,7026764.67331308
148,1006073,514498.503249485
149,1006073,420833.916650176
150,1006073,532990.785200357
151,1006073,299791.22854862
152,1006073,441093.218000334
153,1006073,537486.004099965
154,1006073,336162.783149332
155,1606042,352084.992200658
156,1606042,262978.532799542
157,1606042,404635.486199349
158,1606042,465269.842399523
159,1606042,2148.65973512828
160,1606042,660334.066849172
161,1606042,929680.865999207
162,2204072,374548.153398395
163,2204072,321003.534050673
164,2204072,351353.065350741
165,2204072,1052647.65495107
166,2204072,251313.683400184
167,2204072,798.910016216338
168,2204072,1660247.7341395
169,3214033,268379.003250003
170,3214033,283675.54584986
171,3214033,806201.228649519
172,3214033,392984.373550698
173,3214033,259784.795349985
174,3214033,375319.936250806
175,3214033,355643.041600242
176,3214033,283640.662200242
177,3214033,267328.440199787
178,3214033,356603.825450152
179,3214033,295015.13479954
180,2404162,348857.25113029
181,2404162,1292698.25039536
182,2404162,327517.967555463
183,1207052,327307.613700082
184,1207052,592975.418201327
185,0603052,370731.636650205
186,0603052,287789.22770077
187,0603052,301733.644348919
188,0603052,1006284.18969935
189,0603052,256431.94655028
190,2602072,441503.791882819
191,2602072,15149.4362014439
192,2602072,893082.284300029
193,2602072,519307.792348996
194,1420021,1498331.1231245
195,1434021,48.0303461402655
196,1434021,2575.36247424036
197,1434021,42450.7127113342
198,1434021,464610.965100735
199,1434021,10555814.3194307
200,1209033,1767656.89288231
201,1209033,1526001.85614717
202,1209033,7630710.78500862
203,1209033,417746.112549782
204,1209033,2655293.55803104
205,1209033,804653.020450532
206,1209033,769468.493899822
207,1209033,123405.75458857
208,1811032,129027.749362558
209,1811032,419438.737750351
210,1811032,2645110.80169731
211,1811032,1147719.45145141
212,1811032,538691.722999871
213,1811032,5155.28041293751
214,3022013,116844.75436002
215,3022013,255339.003100216
216,3022013,250951.367300309
217,3022013,524622.632199764
218,3022013,289737.346651238
219,3022013,495324.840999424
220,3022013,3940366.33284387
221,3022013,299024.540100098
222,1006082,507425.420521274
223,1006082,149350.676253557
224,1006082,1084943.64201277
225,1006082,17529.3578884085
226,1006082,4960.66961035132
227,1006082,533186.616210961
228,1006082,20280.2467354061
229,1006082,1665991.86559759
230,1006082,329000.375599504
231,1006082,2112.00306901336
