teryt_id,name,year,group,base_area,base_perimeter,box_area,box_perimeter,rect_area,rect_perimeter,circ_radius,circ_area,conv_area,conv_perimeter,schwartzberg_radius,schwartzberg_circumference,schwartzberg,polsby_popper,reock,box,rectangle,convex_hull
2002013,Choroszcz,2006,artificial_surfaces,7600722.023406,67532.841359,209866340.879717,58876.760000,181375579.894864,55388.165379,8742.285642,240104255.540868,126813927.579846,45515.323520,1555.437225,9773.100321,0.144716,0.020943,0.031656,0.036217,0.041906,0.059936
0413043,Więcbork,2006,artificial_surfaces,3307172.027351,24143.234828,41064627.341401,32761.820000,40673065.443170,32661.590528,6654.126039,139101533.666111,27137808.036150,28706.328671,1026.014401,6446.638611,0.267016,0.071298,0.023775,0.080536,0.081311,0.121866
1211052,Jabłonka,2006,artificial_surfaces,15979689.151663,130321.661958,213959694.384468,60283.832280,198446443.938694,57794.910621,9948.125284,310908334.819941,139594640.601144,48770.243717,2255.325483,14170.627939,0.108736,0.011823,0.051397,0.074686,0.080524,0.114472
1428011,Sochaczew,2006,artificial_surfaces,13894957.255856,64524.648831,67038898.365027,33814.112034,48371485.540244,31463.764518,5888.443151,108930838.290068,34402237.181514,26492.422171,2103.069724,13213.976788,0.204790,0.041939,0.127558,0.207267,0.287255,0.403897
1206092,Mogilany,2006,artificial_surfaces,8835886.358843,59947.595595,69042734.905957,33356.068368,57814081.828645,30574.394070,4713.908249,69809113.536306,40935080.226585,25192.194315,1677.065885,10537.315725,0.175775,0.030897,0.126572,0.127977,0.152833,0.215851
1202033,Czchów,2006,artificial_surfaces,1655539.498001,12058.185662,7111692.308401,10721.300000,5444459.955367,9959.821880,1706.653084,9150406.179719,3489049.391699,8113.240711,725.930154,4561.153681,0.378262,0.143082,0.180925,0.232791,0.304078,0.474496
3210052,Nowogródek Pomorski,2006,artificial_surfaces,2109570.419626,18739.466856,63816403.290395,32031.400000,60623267.307657,31168.957704,4882.333833,74886721.050500,43250481.139945,26399.966009,819.449279,5148.751667,0.274754,0.075490,0.028170,0.033057,0.034798,0.048776
1009062,Siemkowice,2006,artificial_surfaces,1897494.762999,20424.896768,59694979.135792,31123.580000,33601533.444313,27131.014173,5159.373325,83626473.014655,22519455.232594,22992.737002,777.168799,4883.095579,0.239076,0.057157,0.022690,0.031787,0.056470,0.084260
2606022,Iwaniska,2006,artificial_surfaces,2153477.676741,20200.175320,74127102.904165,34601.203224,60917576.826960,31224.845336,5099.567898,81698979.121083,39569476.338505,26296.203502,827.933110,5202.057150,0.257525,0.066319,0.026359,0.029051,0.035351,0.054423
3023032,Orchowo,2006,artificial_surfaces,1893597.236451,19566.874941,35887286.094009,24403.360000,34376129.481125,23778.047936,3908.999437,48004404.718181,28512376.647044,21144.169231,776.370221,4878.077969,0.249303,0.062152,0.039446,0.052765,0.055085,0.066413
2404152,Rędziny,2006,artificial_surfaces,9362047.636444,66405.402962,50487426.548026,28421.811637,39572530.058106,25165.168879,3871.631196,47090991.407838,32387762.742260,21831.583203,1726.277011,10846.518350,0.163338,0.026679,0.198808,0.185433,0.236579,0.289061
2215031,Wejherowo,2006,artificial_surfaces,8503876.953458,28881.945564,20412126.330669,21005.617093,19958827.680143,20879.032639,3964.096384,49367175.911129,14167031.081885,17203.938391,1645.256243,10337.449853,0.357921,0.128107,0.172258,0.416609,0.426071,0.600258
2819012,Budry,2006,artificial_surfaces,671683.684549,5937.655413,30723006.857592,22400.460000,6220382.308663,16795.905030,3791.523050,45162427.133499,6037081.357796,16188.065129,462.388967,2905.275566,0.489297,0.239411,0.014873,0.021863,0.107981,0.111260
1433072,Sadowne,2006,artificial_surfaces,5426835.907489,57167.447679,152378288.482575,50989.753743,151511684.181346,50561.288829,8283.169847,215547507.913405,109457940.133999,42044.833032,1314.311805,8258.064621,0.144454,0.020867,0.025177,0.035614,0.035818,0.049579
2606012,Baćkowice,2006,artificial_surfaces,5760229.590569,68208.974060,81266005.559955,38105.882153,74197590.811793,37060.430345,6338.770965,126229247.309372,57513641.571354,30438.603415,1354.081986,8507.948040,0.124734,0.015558,0.045633,0.070881,0.077634,0.100154
0610062,Spiczyn,2006,artificial_surfaces,2042710.991849,19078.923059,23883207.385203,19740.940000,20450044.336481,18737.956257,2968.346678,27680830.491417,12730633.359947,15135.001484,806.359165,5066.504059,0.265555,0.070519,0.073795,0.085529,0.099888,0.160456
3004063,Pogorzela,2006,artificial_surfaces,4105390.564049,35450.057415,77125474.504590,35188.940000,72754183.798357,34121.111814,5331.897521,89312749.654283,54001765.119861,29123.838292,1143.147586,7182.608116,0.202612,0.041052,0.045966,0.053230,0.056428,0.076023
0608042,Jeziorzany,2006,artificial_surfaces,1926841.622182,17572.103709,50306071.339706,28370.760000,44451978.867822,26822.913983,4293.018907,57899588.223998,28765966.974106,22360.992635,783.155628,4920.711934,0.280030,0.078417,0.033279,0.038302,0.043347,0.066983
0601052,Janów Podlaski,2006,artificial_surfaces,4270838.730197,36438.566590,118885936.511611,45312.900000,114233395.191990,44343.371657,7459.121770,174793495.233140,63169376.834394,36986.353577,1165.954626,7325.908976,0.201048,0.040420,0.024434,0.035924,0.037387,0.067609
2409032,Niegowa,2006,artificial_surfaces,6020570.299639,70363.001119,105597398.134797,42082.320000,100117529.245040,41213.931630,6440.399516,130309323.466691,75116276.203601,34085.034825,1384.343544,8698.087014,0.123617,0.015281,0.046202,0.057014,0.060135,0.080150
3027092,Władysławów,2006,artificial_surfaces,6377861.344685,51561.656522,79224180.054387,36673.335735,74720539.422859,35893.610811,5702.527515,102160886.201982,51421530.718265,28847.462334,1424.828523,8952.461638,0.173626,0.030146,0.062430,0.080504,0.085356,0.124031
0601042,Drelów,2006,artificial_surfaces,4062716.756039,40127.320536,345480717.476398,74418.500000,238560619.832469,64614.052549,11267.643702,398855958.028467,129296324.710949,54862.539255,1137.190797,7145.180506,0.178063,0.031706,0.010186,0.011760,0.017030,0.031422
2808022,Barciany,2006,artificial_surfaces,5268616.617599,48687.960789,289772995.892976,68149.460000,241561792.306021,62700.302625,10072.472025,318729317.272303,177195764.989734,51985.016251,1295.010717,8136.792307,0.167121,0.027930,0.016530,0.018182,0.021811,0.029733
1415112,Troszyn,2006,artificial_surfaces,3582014.419843,35012.106541,142906575.146397,47884.224345,107446614.695753,41684.841707,6423.227911,129615379.820253,84976577.602304,35670.473165,1067.797079,6709.166919,0.191624,0.036720,0.027636,0.025065,0.033338,0.042153
2009022,Giby,2006,artificial_surfaces,1101789.555999,9656.864463,56650867.295403,30478.500000,38749687.927263,28416.089447,5269.203839,87224777.794352,23577976.448648,23669.847638,592.208163,3720.953628,0.385317,0.148469,0.012632,0.019449,0.028434,0.046730
3007072,Mycielin,2006,artificial_surfaces,3099529.885199,32254.371048,81007507.737013,38859.060000,71694398.793751,36999.681683,6706.039077,141280437.861382,46397258.170403,30471.069237,993.282943,6240.980794,0.193493,0.037439,0.021939,0.038262,0.043233,0.066804
1428032,Iłów,2006,artificial_surfaces,2030286.701251,20707.265636,34507997.125790,23526.820000,26340309.149889,22237.958825,3877.287720,47228693.543689,16824965.381597,18620.767881,803.903184,5051.072672,0.243928,0.059501,0.042988,0.058835,0.077079,0.120671
0404062,Stolno,2006,artificial_surfaces,1534158.980901,14398.917615,69447869.537802,34769.980000,24947315.842136,28696.361423,6162.069205,119289719.015207,21918388.810452,26622.963788,698.811828,4390.764209,0.304937,0.092987,0.012861,0.022091,0.061496,0.069994
1014023,Błaszki,2006,artificial_surfaces,7629346.657862,76427.937517,172670126.278420,53107.743551,164177220.012531,51712.844020,8457.104938,224694949.931968,134728761.260173,44327.601896,1558.363394,9791.485978,0.128114,0.016413,0.033954,0.044185,0.046470,0.056627
2002023,Czarna Białostocka,2006,artificial_surfaces,6094123.245852,42322.751149,128418670.875000,45609.500000,74986771.393484,36868.236778,6425.932966,129724574.298827,64033750.462496,33290.220736,1392.774094,8751.057723,0.206770,0.042754,0.046977,0.047455,0.081269,0.095170
