teryt_id,name,year,group,base_area,base_perimeter,box_area,box_perimeter,rect_area,rect_perimeter,circ_radius,circ_area,conv_area,conv_perimeter,schwartzberg_radius,schwartzberg_circumference,schwartzberg,polsby_popper,reock,box,rectangle,convex_hull
2415011,Pszów,2006,artificial_surfaces,4868125.432597,37519.373327,27084233.214627,20842.113755,24070440.557170,19627.377484,2946.886527,27282031.055677,17506516.102396,16034.769414,1244.818241,7821.423680,0.208464,0.043457,0.178437,0.179740,0.202245,0.278075
0221011,Boguszów-Gorce,2006,artificial_surfaces,3078612.450344,29712.055742,21399409.501271,18919.392758,16383647.327379,17775.508663,3140.459008,30983903.452184,11974361.021540,14608.498334,989.925643,6219.886255,0.209339,0.043823,0.099362,0.143864,0.187908,0.257100
3023032,Orchowo,2006,artificial_surfaces,1893597.236451,19566.874941,35887286.094009,24403.360000,34376129.481125,23778.047936,3908.999437,48004404.718181,28512376.647044,21144.169231,776.370221,4878.077969,0.249303,0.062152,0.039446,0.052765,0.055085,0.066413
3064011,Poznań,2006,artificial_surfaces,146331833.102172,308511.073998,434287164.687407,83367.098677,416536518.114712,82995.722925,12470.080886,488526822.620951,302753154.647901,66006.759268,6824.871364,42881.931480,0.138996,0.019320,0.299537,0.336947,0.351306,0.483337
2404052,Kłomnice,2006,artificial_surfaces,9258788.580651,88858.129534,161900665.184398,50909.020000,122137491.642675,44209.662066,7111.081219,158862411.434912,103740878.643647,39463.227348,1716.730596,10786.536457,0.121391,0.014736,0.058282,0.057188,0.075806,0.089249
0203062,Żukowice,2006,artificial_surfaces,2368950.196910,21842.378913,90787694.448797,38307.720000,47038444.248869,31404.193568,5962.833636,111700536.218781,42678402.292318,28910.854403,868.366436,5456.107233,0.249795,0.062397,0.021208,0.026093,0.050362,0.055507
0810011,Gozdnica,2006,artificial_surfaces,3240886.342898,21079.522741,16059240.489329,16029.805533,12678302.612075,14770.598597,2342.714882,17242043.852724,9433719.738255,12224.222853,1015.680148,6381.706582,0.302744,0.091654,0.187964,0.201808,0.255625,0.343543
2605012,Fałków,2006,artificial_surfaces,3299377.460973,37570.830215,99253499.331008,39880.862075,89048793.751290,38159.196640,6139.167337,118404665.467857,66149420.004449,32484.246197,1024.804598,6439.037193,0.171384,0.029372,0.027865,0.033242,0.037051,0.049878
1817062,Tyrawa Wołoska,2006,artificial_surfaces,727522.150951,8367.160443,3936095.291697,7939.640000,3029572.282873,7101.035576,1111.603795,3881949.791527,2211110.134599,5913.920917,481.224992,3023.625800,0.361368,0.130587,0.187412,0.184833,0.240140,0.329030
2005011,Hajnówka,2006,artificial_surfaces,9532572.524496,29404.127779,30751656.248907,22776.093578,28648886.038565,22254.651257,3612.581086,41000115.518177,18730536.422845,18032.603418,1741.927689,10944.854465,0.372222,0.138549,0.232501,0.309986,0.332738,0.508932
