unit_id,teryt_id,name,level,kind,period_start,period_end,population_start,population_end,type,pop_rate,pop_points,migr_rate,migr_points,age_rate,age_points,empl_rate,empl_points,unempl_rate,unempl_points,revenue_rate,revenue_points,score,status
011212001011,1201011,Bochnia,6,1,2003,2008,29423,29605,M,0.0012,3,-11.2703,2,0.0041,3,0.0385,3,-0.0079,1,0.1411,2,14,B
011212001011,1201011,Bochnia,6,1,2004,2009,29536,29748,M,0.0014,3,-11.0945,2,0.0019,3,0.0235,2,-0.0048,1,0.1018,2,13,C
011212001011,1201011,Bochnia,6,1,2005,2010,29487,30166,M,0.0046,3,-11.0624,2,0.0030,3,0.0383,3,-0.0039,4,0.0821,2,17,B
011212001011,1201011,Bochnia,6,1,2006,2011,29404,30300,M,0.0060,3,-5.7131,2,0.0018,3,0.0291,3,-0.0007,2,0.0628,2,15,B
011212001011,1201011,Bochnia,6,1,2007,2012,29444,30303,M,0.0058,3,-4.8335,2,0.0004,3,0.0192,2,0.0028,0,0.0716,2,12,C
011212001011,1201011,Bochnia,6,1,2008,2013,29605,30219,M,0.0041,3,-8.1862,2,-0.0043,0,-0.0049,1,0.0042,0,0.0198,2,8,D
011212001011,1201011,Bochnia,6,1,2009,2014,29748,30104,M,0.0024,3,-9.8032,2,-0.0072,0,0.0048,2,0.0005,0,0.0686,2,9,D
011212001011,1201011,Bochnia,6,1,2010,2015,30166,30107,M,-0.0004,3,-8.4109,2,-0.0120,0,-0.0020,1,-0.0011,3,0.0634,2,11,C
011212001011,1201011,Bochnia,6,1,2011,2016,30300,30048,M,-0.0017,2,-11.0667,1,-0.0134,0,0.0022,2,-0.0024,3,0.0725,2,10,D
011212001011,1201011,Bochnia,6,1,2012,2017,30303,29992,M,-0.0021,2,-13.3902,1,-0.0147,0,0.0107,2,-0.0043,0,0.0693,2,7,D
011212001011,1201011,Bochnia,6,1,2013,2018,30219,29922,M,-0.0020,2,-12.5656,1,-0.0136,0,0.0107,2,-0.0049,0,0.0812,3,8,D
011212001011,1201011,Bochnia,6,1,2014,2019,30104,29718,M,-0.0026,2,-17.5113,1,-0.0140,1,0.0129,2,-0.0050,2,0.0425,2,10,D
011212001011,1201011,Bochnia,6,1,2015,2020,30107,29554,M,-0.0037,2,-19.9475,1,-0.0139,1,0.0077,2,-0.0018,3,0.0635,2,11,C
011212001011,1201011,Bochnia,6,1,2016,2021,30048,29317,M,-0.0049,2,-23.3367,1,-0.0145,1,0.0120,2,-0.0019,1,0.0762,2,9,D
011212001022,1201022,Bochnia,6,2,2003,2008,16845,18624,R,0.0203,4,15.5038,4,0.0342,4,0.1487,4,-0.0066,3,0.1133,2,21,A
011212001022,1201022,Bochnia,6,2,2004,2009,18207,18694,R,0.0053,4,16.7576,4,0.0168,4,0.1137,4,-0.0046,4,0.1285,3,23,A
011212001022,1201022,Bochnia,6,2,2005,2010,18293,18784,R,0.0053,3,12.8188,3,0.0136,3,0.0912,4,-0.0023,2,0.0882,2,17,B
011212001022,1201022,Bochnia,6,2,2006,2011,18458,18960,R,0.0054,3,13.6962,3,0.0114,3,0.0840,4,0.0008,0,0.0975,2,15,B
011212001022,1201022,Bochnia,6,2,2007,2012,18567,19091,R,0.0056,3,14.5710,4,0.0093,3,0.0710,4,0.0041,0,0.0911,3,17,B
011212001022,1201022,Bochnia,6,2,2008,2013,18624,19305,R,0.0072,3,18.9678,4,0.0088,3,0.0305,3,0.0035,0,0.0888,4,17,B
011212001022,1201022,Bochnia,6,2,2009,2014,18694,19421,R,0.0077,4,17.6419,4,0.0070,3,0.0662,4,0.0009,0,0.0908,3,18,B
011212001022,1201022,Bochnia,6,2,2010,2015,18784,19530,R,0.0078,4,17.5354,4,0.0069,4,0.0695,4,-0.0013,3,0.1476,4,23,A
011212001022,1201022,Bochnia,6,2,2011,2016,18960,19606,R,0.0067,4,15.3620,4,0.0046,4,0.0909,4,-0.0027,3,0.0918,3,22,A
011212001022,1201022,Bochnia,6,2,2012,2017,19091,19744,R,0.0067,4,14.4408,4,0.0031,4,0.0607,4,-0.0045,4,0.1327,4,24,A
011212001022,1201022,Bochnia,6,2,2013,2018,19305,19872,R,0.0058,4,8.9426,4,0.0013,4,0.0652,4,-0.0040,2,0.1047,4,22,A
011212001022,1201022,Bochnia,6,2,2014,2019,19421,20024,R,0.0061,4,10.9576,4,0.0005,4,0.0348,3,-0.0044,4,0.1087,4,23,A
011212001022,1201022,Bochnia,6,2,2015,2020,19530,20152,R,0.0063,4,14.6793,4,0.0000,4,0.0179,2,-0.0016,2,0.0978,2,18,B
011212001022,1201022,Bochnia,6,2,2016,2021,19606,20141,R,0.0054,4,12.7515,4,-0.0010,4,0.0068,2,-0.0016,3,0.1121,3,20,A
011212001032,1201032,Drwinia,6,2,2003,2008,6321,6343,R,0.0007,3,8.0326,3,0.0123,3,0.0385,3,-0.0051,2,0.0456,2,16,B
011212001032,1201032,Drwinia,6,2,2004,2009,6282,6395,R,0.0036,3,13.3830,4,0.0131,3,0.0419,3,-0.0034,2,0.1004,2,17,B
011212001032,1201032,Drwinia,6,2,2005,2010,6291,6458,R,0.0053,3,10.3382,3,0.0117,3,0.0660,4,-0.0019,2,0.0823,2,17,B
011212001032,1201032,Drwinia,6,2,2006,2011,6362,6465,R,0.0032,3,5.2908,3,0.0081,3,0.0411,3,0.0016,0,0.1081,3,15,B
