unit_id,var_id,year,val,population,rate,group,group_start
011212001011,10514,2003,1829,29423,0.0621622540189648,B,
011212001011,10514,2004,1718,29536,0.0581663055254605,B,
011212001011,10514,2005,1536,29487,0.0520907518567504,C,
011212001011,10514,2006,1203,29404,0.0409128009794586,C,
011212001011,10514,2007,877,29444,0.0297853552506453,C,
011212001011,10514,2008,674,29605,0.0227664245904408,C,B
011212001011,10514,2009,1026,29748,0.0344897135941912,C,B
011212001011,10514,2010,993,30166,0.0329178545382218,C,C
011212001011,10514,2011,1141,30300,0.0376567656765677,C,C
011212001011,10514,2012,1327,30303,0.0437910437910438,B,C
011212001011,10514,2013,1330,30219,0.0440120454018995,B,C
011212001011,10514,2014,1118,30104,0.0371379218708477,B,C
011212001011,10514,2015,832,30107,0.0276347693227489,C,C
011212001011,10514,2016,775,30048,0.0257920660276890,B,C
011212001011,10514,2017,667,29992,0.0222392638036810,B,B
011212001011,10514,2018,585,29922,0.0195508321636254,B,B
011212001011,10514,2019,364,29718,0.0122484689413823,C,B
011212001011,10514,2020,548,29554,0.0185423292955268,C,C
011212001011,10514,2021,473,29317,0.0161339836954668,B,B
011212001022,10514,2003,909,16845,0.0539626001780944,C,
011212001022,10514,2004,935,18207,0.0513538748832866,C,
011212001022,10514,2005,790,18293,0.0431859181107527,C,
011212001022,10514,2006,593,18458,0.0321269910066096,C,
011212001022,10514,2007,408,18567,0.0219744708353530,C,
011212001022,10514,2008,388,18624,0.0208333333333333,C,C
011212001022,10514,2009,530,18694,0.0283513426767947,C,C
011212001022,10514,2010,595,18784,0.0316758943781942,C,C
011212001022,10514,2011,684,18960,0.0360759493670886,C,C
011212001022,10514,2012,815,19091,0.0426902729034624,C,C
011212001022,10514,2013,744,19305,0.0385392385392385,C,C
011212001022,10514,2014,638,19421,0.0328510375366871,C,C
011212001022,10514,2015,498,19530,0.0254992319508449,C,C
011212001022,10514,2016,443,19606,0.0225951239416505,C,C
011212001022,10514,2017,397,19744,0.0201073743922204,B,C
011212001022,10514,2018,365,19872,0.0183675523349436,B,C
011212001022,10514,2019,217,20024,0.0108369956052737,C,C
011212001022,10514,2020,358,20152,0.0177649861055975,C,C
011212001022,10514,2021,299,20141,0.0148453403505288,C,C
011212001032,10514,2003,269,6321,0.0425565575067236,C,
011212001032,10514,2004,274,6282,0.0436166825851640,C,
011212001032,10514,2005,247,6291,0.0392624384040693,C,
011212001032,10514,2006,133,6362,0.0209053756680289,C,
011212001032,10514,2007,118,6367,0.0185330610962777,C,
011212001032,10514,2008,108,6343,0.0170266435440643,C,C
011212001032,10514,2009,173,6395,0.0270523846755278,C,C
011212001032,10514,2010,193,6458,0.0298854134406937,C,C
011212001032,10514,2011,188,6465,0.0290796597061098,C,C
011212001032,10514,2012,238,6539,0.0363970025997859,C,C
011212001032,10514,2013,248,6513,0.0380776907723016,C,C
011212001032,10514,2014,197,6484,0.0303824799506477,C,C
011212001032,10514,2015,138,6535,0.0211170619739862,C,C
011212001032,10514,2016,120,6513,0.0184246890833717,C,C
011212001032,10514,2017,111,6505,0.0170637970791699,C,C
011212001032,10514,2018,86,6517,0.0131962559459874,C,C
011212001032,10514,2019,53,6534,0.0081114172023263,C,C
011212001032,10514,2020,79,6494,0.0121650754542655,C,C
011212001032,10514,2021,75,6488,0.0115598027127004,C,C
011212001042,10514,2003,326,5442,0.0599044468945241,C,
011212001042,10514,2004,314,5466,0.0574460300036590,C,
011212001042,10514,2005,285,5474,0.0520643039824625,C,
