unit_id,parent_id,teryt_id,name,level,kind
011212001011,011212001000,1201011,Bochnia,6,1
011212001063,011212001000,1201063,Nowy Wiśnicz,6,3
011212006063,011212006000,1206063,Krzeszowice,6,3
011212006103,011212006000,1206103,Skała,6,3
011212006113,011212006000,1206113,Skawina,6,3
011212006123,011212006000,1206123,Słomniki,6,3
011212006143,011212006000,1206143,Świątniki Górne,6,3
011212008053,011212008000,1208053,Miechów,6,3
011212009013,011212009000,1209013,Dobczyce,6,3
011212009033,011212009000,1209033,Myślenice,6,3
011212009073,011212009000,1209073,Sułkowice,6,3
011212014023,011212014000,1214023,Koszyce,6,3
011212014033,011212014000,1214033,Nowe Brzesko,6,3
011212014053,011212014000,1214053,Proszowice,6,3
011212019043,011212019000,1219043,Niepołomice,6,3
011212019053,011212019000,1219053,Wieliczka,6,3
011212161011,011212161000,1261011,Kraków,6,1
011212205011,011212205000,1205011,Gorlice,6,1
011212205023,011212205000,1205023,Biecz,6,3
011212205033,011212205000,1205033,Bobowa,6,3
011212207011,011212207000,1207011,Limanowa,6,1
011212207021,011212207000,1207021,Mszana Dolna,6,1
011212210011,011212210000,1210011,Grybów,6,1
011212210073,011212210000,1210073,Krynica-Zdrój,6,3
011212210113,011212210000,1210113,Muszyna,6,3
011212210133,011212210000,1210133,Piwniczna-Zdrój,6,3
011212210163,011212210000,1210163,Stary Sącz,6,3
011212262011,011212262000,1262011,Nowy Sącz,6,1
011212303013,011212303000,1203013,Alwernia,6,3
011212303033,011212303000,1203033,Chrzanów,6,3
011212303043,011212303000,1203043,Libiąż,6,3
011212303053,011212303000,1203053,Trzebinia,6,3
011212312011,011212312000,1212011,Bukowno,6,1
011212312021,011212312000,1212021,Sławków,6,1
011212312053,011212312000,1212053,Olkusz,6,3
011212312073,011212312000,1212073,Wolbrom,6,3
011212313011,011212313000,1213011,Oświęcim,6,1
011212313023,011212313000,1213023,Brzeszcze,6,3
011212313033,011212313000,1213033,Chełmek,6,3
011212313043,011212313000,1213043,Kęty,6,3
011212313093,011212313000,1213093,Zator,6,3
011212318013,011212318000,1218013,Andrychów,6,3
011212318033,011212318000,1218033,Kalwaria Zebrzydowska,6,3
011212318093,011212318000,1218093,Wadowice,6,3
011212402023,011212402000,1202023,Brzesko,6,3
011212402033,011212402000,1202033,Czchów,6,3
011212404023,011212404000,1204023,Dąbrowa Tarnowska,6,3
011212404073,011212404000,1204073,Szczucin,6,3
011212416013,011212416000,1216013,Ciężkowice,6,3
011212416053,011212416000,1216053,Radłów,6,3
011212416063,011212416000,1216063,Ryglice,6,3
011212416103,011212416000,1216103,Tuchów,6,3
011212416133,011212416000,1216133,Wojnicz,6,3
011212416143,011212416000,1216143,Zakliczyn,6,3
011212416153,011212416000,1216153,Żabno,6,3
011212463011,011212463000,1263011,Tarnów,6,1
011216911011,011216911000,1211011,Nowy Targ,6,1
011216911021,011216911000,1211021,Szczawnica,6,1
011216911023,011216911000,1211023,Szczawnica,6,3
011216911123,011216911000,1211123,Rabka-Zdrój,6,3
011216915011,011216915000,1215011,Jordanów,6,1
011216915021,011216915000,1215021,Sucha Beskidzka,6,1
011216915063,011216915000,1215063,Maków Podhalański,6,3
011216917011,011216917000,1217011,Zakopane,6,1
012414402011,012414402000,2402011,Szczyrk,6,1
012414402043,012414402000,2402043,Czechowice-Dziedzice,6,3
012414402093,012414402000,2402093,Wilamowice,6,3
012414403011,012414403000,2403011,Cieszyn,6,1
012414403021,012414403000,2403021,Ustroń,6,1
012414403031,012414403000,2403031,Wisła,6,1
012414403103,012414403000,2403103,Skoczów,6,3
012414403113,012414403000,2403113,Strumień,6,3
012414417011,012414417000,2417011,Żywiec,6,1
012414461011,012414461000,2461011,Bielsko-Biała,6,1
012414507011,012414507000,2407011,Lubliniec,6,1
012414507083,012414507000,2407083,Woźniki,6,3
012414513011,012414513000,2413011,Kalety,6,1
012414513021,012414513000,2413021,Miasteczko Śląskie,6,1
012414513031,012414513000,2413031,Radzionków,6,1
012414513041,012414513000,2413041,Tarnowskie Góry,6,1
012414562011,012414562000,2462011,Bytom,6,1
012414571011,012414571000,2471011,Piekary Śląskie,6,1
012414604013,012414604000,2404013,Blachownia,6,3
012414604063,012414604000,2404063,Koniecpol,6,3
012414604123,012414604000,2404123,Olsztyn,6,3
012414606013,012414606000,2406013,Kłobuck,6,3
012414606023,012414606000,2406023,Krzepice,6,3
012414609011,012414609000,2409011,Myszków,6,1
012414609023,012414609000,2409023,Koziegłowy,6,3
012414609053,012414609000,2409053,Żarki,6,3
012414664011,012414664000,2464011,Częstochowa,6,1
012414705011,012414705000,2405011,Knurów,6,1
012414705021,012414705000,2405021,Pyskowice,6,1
012414705063,012414705000,2405063,Sośnicowice,6,3
012414705073,012414705000,2405073,Toszek,6,3
012414766011,012414766000,2466011,Gliwice,6,1
012414778011,012414778000,2478011,Zabrze,6,1
012414863011,012414863000,2463011,Chorzów,6,1
012414869011,012414869000,2469011,Katowice,6,1
012414870011,012414870000,2470011,Mysłowice,6,1
012414872011,012414872000,2472011,Ruda Śląska,6,1
012414874011,012414874000,2474011,Siemianowice Śląskie,6,1
012414876011,012414876000,2476011,Świętochłowice,6,1
012414911011,012414911000,2411011,Racibórz,6,1
012414911033,012414911000,2411033,Krzanowice,6,3
012414911053,012414911000,2411053,Kuźnia Raciborska,6,3
012414912013,012414912000,2412013,Czerwionka-Leszczyny,6,3
012414915011,012414915000,2415011,Pszów,6,1
012414915021,012414915000,2415021,Radlin,6,1
012414915031,012414915000,2415031,Rydułtowy,6,1
012414915041,012414915000,2415041,Wodzisław Śląski,6,1
012414967011,012414967000,2467011,Jastrzębie-Zdrój,6,1
012414973011,012414973000,2473011,Rybnik,6,1
012414979011,012414979000,2479011,Żory,6,1
012415001011,012415001000,2401011,Będzin,6,1
012415001021,012415001000,2401021,Czeladź,6,1
012415001031,012415001000,2401031,Wojkowice,6,1
012415001073,012415001000,2401073,Siewierz,6,3
012415001081,012415001000,2401081,Sławków,6,1
012415016011,012415016000,2416011,Poręba,6,1
012415016021,012415016000,2416021,Zawiercie,6,1
012415016053,012415016000,2416053,Łazy,6,3
012415016063,012415016000,2416063,Ogrodzieniec,6,3
012415016073,012415016000,2416073,Pilica,6,3
012415016083,012415016000,2416083,Szczekociny,6,3
012415065011,012415065000,2465011,Dąbrowa Górnicza,6,1
012415068011,012415068000,2468011,Jaworzno,6,1
012415075011,012415075000,2475011,Sosnowiec,6,1
012415108011,012415108000,2408011,Łaziska Górne,6,1
012415108021,012415108000,2408021,Mikołów,6,1
012415108031,012415108000,2408031,Orzesze,6,1
012415110053,012415110000,2410053,Pszczyna,6,3
012415114011,012415114000,2414011,Bieruń,6,1
012415114021,012415114000,2414021,Imielin,6,1
012415114031,012415114000,2414031,Lędziny,6,1
012415177011,012415177000,2477011,Tychy,6,1
020811301011,020811301000,0801011,Kostrzyn nad Odrą,6,1
020811301073,020811301000,0801073,Witnica,6,3
020811303023,020811303000,0803023,Międzyrzecz,6,3
020811303053,020811303000,0803053,Skwierzyna,6,3
020811303063,020811303000,0803063,Trzciel,6,3
020811305013,020811305000,0805013,Cybinka,6,3
020811305033,020811305000,0805033,Ośno Lubuskie,6,3
020811305043,020811305000,0805043,Rzepin,6,3
020811305053,020811305000,0805053,Słubice,6,3
020811306013,020811306000,0806013,Dobiegniew,6,3
020811306023,020811306000,0806023,Drezdenko,6,3
