unit_id,parent_id,teryt_id,name,level,kind
011212001011,011212001000,1201011,Bochnia,6,1
011212001064,011212001063,1201064,Nowy Wiśnicz,6,4
011212006064,011212006063,1206064,Krzeszowice,6,4
011212006104,011212006103,1206104,Skała,6,4
011212006114,011212006113,1206114,Skawina,6,4
011212006124,011212006123,1206124,Słomniki,6,4
011212006144,011212006143,1206144,Świątniki Górne,6,4
011212008054,011212008053,1208054,Miechów,6,4
011212009014,011212009013,1209014,Dobczyce,6,4
011212009034,011212009033,1209034,Myślenice,6,4
011212009074,011212009073,1209074,Sułkowice,6,4
011212014024,011212014023,1214024,Koszyce,6,4
011212014034,011212014033,1214034,Nowe Brzesko,6,4
011212014054,011212014053,1214054,Proszowice,6,4
011212019044,011212019043,1219044,Niepołomice,6,4
011212019054,011212019053,1219054,Wieliczka,6,4
011212161011,011212161000,1261011,Kraków,6,1
011212205011,011212205000,1205011,Gorlice,6,1
011212205024,011212205023,1205024,Biecz,6,4
011212205034,011212205033,1205034,Bobowa,6,4
011212207011,011212207000,1207011,Limanowa,6,1
011212207021,011212207000,1207021,Mszana Dolna,6,1
011212210011,011212210000,1210011,Grybów,6,1
011212210074,011212210073,1210074,Krynica-Zdrój,6,4
011212210114,011212210113,1210114,Muszyna,6,4
011212210134,011212210133,1210134,Piwniczna-Zdrój,6,4
011212210164,011212210163,1210164,Stary Sącz,6,4
011212262011,011212262000,1262011,Nowy Sącz,6,1
011212303014,011212303013,1203014,Alwernia,6,4
011212303034,011212303033,1203034,Chrzanów,6,4
011212303044,011212303043,1203044,Libiąż,6,4
011212303054,011212303053,1203054,Trzebinia,6,4
011212312011,011212312000,1212011,Bukowno,6,1
011212312021,011212312000,1212021,Sławków,6,1
011212312054,011212312053,1212054,Olkusz,6,4
011212312074,011212312073,1212074,Wolbrom,6,4
011212313011,011212313000,1213011,Oświęcim,6,1
011212313024,011212313023,1213024,Brzeszcze,6,4
011212313034,011212313033,1213034,Chełmek,6,4
011212313044,011212313043,1213044,Kęty,6,4
011212313094,011212313093,1213094,Zator,6,4
011212318014,011212318013,1218014,Andrychów,6,4
011212318034,011212318033,1218034,Kalwaria Zebrzydowska,6,4
011212318094,011212318093,1218094,Wadowice,6,4
011212402024,011212402023,1202024,Brzesko,6,4
011212402034,011212402033,1202034,Czchów,6,4
011212404024,011212404023,1204024,Dąbrowa Tarnowska,6,4
011212404074,011212404073,1204074,Szczucin,6,4
011212416014,011212416013,1216014,Ciężkowice,6,4
011212416054,011212416053,1216054,Radłów,6,4
011212416064,011212416063,1216064,Ryglice,6,4
011212416104,011212416103,1216104,Tuchów,6,4
011212416134,011212416133,1216134,Wojnicz,6,4
011212416144,011212416143,1216144,Zakliczyn,6,4
011212416154,011212416153,1216154,Żabno,6,4
011212463011,011212463000,1263011,Tarnów,6,1
011216911011,011216911000,1211011,Nowy Targ,6,1
011216911021,011216911000,1211021,Szczawnica,6,1
011216911024,011216911023,1211024,Szczawnica,6,4
011216911124,011216911123,1211124,Rabka-Zdrój,6,4
011216915011,011216915000,1215011,Jordanów,6,1
011216915021,011216915000,1215021,Sucha Beskidzka,6,1
011216915064,011216915063,1215064,Maków Podhalański,6,4
011216917011,011216917000,1217011,Zakopane,6,1
012414402011,012414402000,2402011,Szczyrk,6,1
012414402044,012414402043,2402044,Czechowice-Dziedzice,6,4
012414402094,012414402093,2402094,Wilamowice,6,4
012414403011,012414403000,2403011,Cieszyn,6,1
012414403021,012414403000,2403021,Ustroń,6,1
012414403031,012414403000,2403031,Wisła,6,1
012414403104,012414403103,2403104,Skoczów,6,4
012414403114,012414403113,2403114,Strumień,6,4
012414417011,012414417000,2417011,Żywiec,6,1
012414461011,012414461000,2461011,Bielsko-Biała,6,1
012414507011,012414507000,2407011,Lubliniec,6,1
012414507084,012414507083,2407084,Woźniki,6,4
012414513011,012414513000,2413011,Kalety,6,1
012414513021,012414513000,2413021,Miasteczko Śląskie,6,1
012414513031,012414513000,2413031,Radzionków,6,1
012414513041,012414513000,2413041,Tarnowskie Góry,6,1
012414562011,012414562000,2462011,Bytom,6,1
012414571011,012414571000,2471011,Piekary Śląskie,6,1
012414604014,012414604013,2404014,Blachownia,6,4
012414604064,012414604063,2404064,Koniecpol,6,4
012414604124,012414604123,2404124,Olsztyn,6,4
012414606014,012414606013,2406014,Kłobuck,6,4
012414606024,012414606023,2406024,Krzepice,6,4
012414609011,012414609000,2409011,Myszków,6,1
012414609024,012414609023,2409024,Koziegłowy,6,4
012414609054,012414609053,2409054,Żarki,6,4
012414664011,012414664000,2464011,Częstochowa,6,1
012414705011,012414705000,2405011,Knurów,6,1
012414705021,012414705000,2405021,Pyskowice,6,1
012414705064,012414705063,2405064,Sośnicowice,6,4
012414705074,012414705073,2405074,Toszek,6,4
012414766011,012414766000,2466011,Gliwice,6,1
012414778011,012414778000,2478011,Zabrze,6,1
012414863011,012414863000,2463011,Chorzów,6,1
012414869011,012414869000,2469011,Katowice,6,1
012414870011,012414870000,2470011,Mysłowice,6,1
012414872011,012414872000,2472011,Ruda Śląska,6,1
012414874011,012414874000,2474011,Siemianowice Śląskie,6,1
012414876011,012414876000,2476011,Świętochłowice,6,1
012414911011,012414911000,2411011,Racibórz,6,1
012414911034,012414911033,2411034,Krzanowice,6,4
012414911054,012414911053,2411054,Kuźnia Raciborska,6,4
012414912014,012414912013,2412014,Czerwionka-Leszczyny,6,4
012414915011,012414915000,2415011,Pszów,6,1
012414915021,012414915000,2415021,Radlin,6,1
012414915031,012414915000,2415031,Rydułtowy,6,1
012414915041,012414915000,2415041,Wodzisław Śląski,6,1
012414967011,012414967000,2467011,Jastrzębie-Zdrój,6,1
012414973011,012414973000,2473011,Rybnik,6,1
012414979011,012414979000,2479011,Żory,6,1
012415001011,012415001000,2401011,Będzin,6,1
012415001021,012415001000,2401021,Czeladź,6,1
012415001031,012415001000,2401031,Wojkowice,6,1
012415001074,012415001073,2401074,Siewierz,6,4
012415001081,012415001000,2401081,Sławków,6,1
012415016011,012415016000,2416011,Poręba,6,1
012415016021,012415016000,2416021,Zawiercie,6,1
012415016054,012415016053,2416054,Łazy,6,4
012415016064,012415016063,2416064,Ogrodzieniec,6,4
012415016074,012415016073,2416074,Pilica,6,4
012415016084,012415016083,2416084,Szczekociny,6,4
012415065011,012415065000,2465011,Dąbrowa Górnicza,6,1
012415068011,012415068000,2468011,Jaworzno,6,1
012415075011,012415075000,2475011,Sosnowiec,6,1
012415108011,012415108000,2408011,Łaziska Górne,6,1
012415108021,012415108000,2408021,Mikołów,6,1
012415108031,012415108000,2408031,Orzesze,6,1
012415110054,012415110053,2410054,Pszczyna,6,4
012415114011,012415114000,2414011,Bieruń,6,1
012415114021,012415114000,2414021,Imielin,6,1
012415114031,012415114000,2414031,Lędziny,6,1
012415177011,012415177000,2477011,Tychy,6,1
020811301011,020811301000,0801011,Kostrzyn nad Odrą,6,1
020811301074,020811301073,0801074,Witnica,6,4
020811303024,020811303023,0803024,Międzyrzecz,6,4
020811303054,020811303053,0803054,Skwierzyna,6,4
020811303064,020811303063,0803064,Trzciel,6,4
020811305014,020811305013,0805014,Cybinka,6,4
020811305034,020811305033,0805034,Ośno Lubuskie,6,4
020811305044,020811305043,0805044,Rzepin,6,4
020811305054,020811305053,0805054,Słubice,6,4
020811306014,020811306013,0806014,Dobiegniew,6,4
020811306024,020811306023,0806024,Drezdenko,6,4
020811306044,020811306043,0806044,Strzelce Krajeńskie,6,4
020811307024,020811307023,0807024,Lubniewice,6,4
020811307044,020811307043,0807044,Sulęcin,6,4
020811307054,020811307053,0807054,Torzym,6,4
020811361011,020811361000,0861011,Gorzów Wielkopolski,6,1
020811402011,020811402000,0802011,Gubin,6,1
020811402064,020811402063,0802064,Krosno Odrzańskie,6,4
020811404011,020811404000,0804011,Nowa Sól,6,1
020811404024,020811404023,0804024,Bytom Odrzański,6,4
020811404044,020811404043,0804044,Kożuchów,6,4
020811404064,020811404063,0804064,Nowe Miasteczko,6,4
020811404074,020811404073,0804074,Otyń,6,4
020811404094,020811404093,0804094,Sława,6,4
020811404104,020811404103,0804104,Szlichtyngowa,6,4
020811404114,020811404113,0804114,Wschowa,6,4
020811408054,020811408053,0808054,Świebodzin,6,4
020811408064,020811408063,0808064,Zbąszynek,6,4
020811409014,020811409013,0809014,Babimost,6,4
020811409034,020811409033,0809034,Czerwieńsk,6,4
020811409044,020811409043,0809044,Kargowa,6,4
020811409054,020811409053,0809054,Nowogród Bobrzański,6,4
020811409064,020811409063,0809064,Sulechów,6,4
020811410011,020811410000,0810011,Gozdnica,6,1
020811410021,020811410000,0810021,Żagań,6,1
020811410044,020811410043,0810044,Iłowa,6,4
020811410054,020811410053,0810054,Małomice,6,4
020811410074,020811410073,0810074,Szprotawa,6,4
020811411011,020811411000,0811011,Łęknica,6,1
020811411021,020811411000,0811021,Żary,6,1
020811411044,020811411043,0811044,Jasień,6,4
020811411064,020811411063,0811064,Lubsko,6,4
020811412014,020811412013,0812014,Sława,6,4
020811412024,020811412023,0812024,Szlichtyngowa,6,4
020811412034,020811412033,0812034,Wschowa,6,4
020811462011,020811462000,0862011,Zielona Góra,6,1
023015706014,023015706013,3006014,Jaraczewo,6,4
023015706024,023015706023,3006024,Jarocin,6,4
023015706044,023015706043,3006044,Żerków,6,4
023015707054,023015707053,3007054,Koźminek,6,4
023015707084,023015707083,3007084,Opatówek,6,4
023015707094,023015707093,3007094,Stawiszyn,6,4
023015708034,023015708033,3008034,Kępno,6,4
023015712011,023015712000,3012011,Sulmierzyce,6,1
023015712024,023015712023,3012024,Kobylin,6,4
023015712034,023015712033,3012034,Koźmin Wielkopolski,6,4
023015712044,023015712043,3012044,Krotoszyn,6,4
023015712064,023015712063,3012064,Zduny,6,4
023015717011,023015717000,3017011,Ostrów Wielkopolski,6,1
023015717024,023015717023,3017024,Nowe Skalmierzyce,6,4
023015717034,023015717033,3017034,Odolanów,6,4
023015717064,023015717063,3017064,Raszków,6,4
023015718034,023015718033,3018034,Grabów nad Prosną,6,4
023015718064,023015718063,3018064,Mikstat,6,4
023015718074,023015718073,3018074,Ostrzeszów,6,4
023015720014,023015720013,3020014,Chocz,6,4
023015720034,023015720033,3020034,Dobrzyca,6,4
023015720064,023015720063,3020064,Pleszew,6,4
023015761011,023015761000,3061011,Kalisz,6,1
023015803011,023015803000,3003011,Gniezno,6,1
023015803024,023015803023,3003024,Czerniejewo,6,4
023015803054,023015803053,3003054,Kłecko,6,4
023015803094,023015803093,3003094,Trzemeszno,6,4
023015803104,023015803103,3003104,Witkowo,6,4
023015809011,023015809000,3009011,Koło,6,1
023015809044,023015809043,3009044,Dąbie,6,4
023015809064,023015809063,3009064,Kłodawa,6,4
023015809114,023015809113,3009114,Przedecz,6,4
023015810014,023015810013,3010014,Golina,6,4
023015810044,023015810043,3010044,Kleczew,6,4
023015810074,023015810073,3010074,Rychwał,6,4
023015810104,023015810103,3010104,Sompolno,6,4
023015810124,023015810123,3010124,Ślesin,6,4
023015823011,023015823000,3023011,Słupca,6,1
023015823084,023015823083,3023084,Zagórów,6,4
023015827011,023015827000,3027011,Turek,6,1
023015827034,023015827033,3027034,Dobra,6,4
023015827074,023015827073,3027074,Tuliszków,6,4
023015830024,023015830023,3030024,Miłosław,6,4
023015830034,023015830033,3030034,Nekla,6,4
023015830044,023015830043,3030044,Pyzdry,6,4
023015830054,023015830053,3030054,Września,6,4
023015862011,023015862000,3062011,Konin,6,1
023015904014,023015904013,3004014,Borek Wielkopolski,6,4
023015904024,023015904023,3004024,Gostyń,6,4
023015904034,023015904033,3004034,Krobia,6,4
023015904064,023015904063,3004064,Pogorzela,6,4
023015904074,023015904073,3004074,Poniec,6,4
023015905024,023015905023,3005024,Grodzisk Wielkopolski,6,4
023015905044,023015905043,3005044,Rakoniewice,6,4
023015905054,023015905053,3005054,Wielichowo,6,4
023015911011,023015911000,3011011,Kościan,6,1
023015911024,023015911023,3011024,Czempiń,6,4
023015911044,023015911043,3011044,Krzywiń,6,4
023015911054,023015911053,3011054,Śmigiel,6,4
023015913034,023015913033,3013034,Osieczna,6,4
023015913044,023015913043,3013044,Rydzyna,6,4
023015914034,023015914033,3014034,Międzychód,6,4
023015914044,023015914043,3014044,Sieraków,6,4
023015915024,023015915023,3015024,Lwówek,6,4
023015915044,023015915043,3015044,Nowy Tomyśl,6,4
023015915054,023015915053,3015054,Opalenica,6,4
023015915064,023015915063,3015064,Zbąszyń,6,4
023015922014,023015922013,3022014,Bojanowo,6,4
023015922024,023015922023,3022024,Jutrosin,6,4
023015922034,023015922033,3022034,Miejska Górka,6,4
023015922054,023015922053,3022054,Rawicz,6,4
023015929034,023015929033,3029034,Wolsztyn,6,4
023015963011,023015963000,3063011,Leszno,6,1
023016001011,023016001000,3001011,Chodzież,6,1
023016001024,023016001023,3001024,Budzyń,6,4
023016001044,023016001043,3001044,Margonin,6,4
023016001054,023016001053,3001054,Szamocin,6,4
023016002011,023016002000,3002011,Czarnków,6,1
023016002044,023016002043,3002044,Krzyż Wielkopolski,6,4
023016002074,023016002073,3002074,Trzcianka,6,4
023016002084,023016002083,3002084,Wieleń,6,4
023016019011,023016019000,3019011,Piła,6,1
023016019034,023016019033,3019034,Kaczory,6,4
023016019044,023016019043,3019044,Łobżenica,6,4
023016019074,023016019073,3019074,Ujście,6,4
023016019084,023016019083,3019084,Wyrzysk,6,4
023016019094,023016019093,3019094,Wysoka,6,4
023016028011,023016028000,3028011,Wągrowiec,6,1
023016028034,023016028033,3028034,Gołańcz,6,4
023016028054,023016028053,3028054,Skoki,6,4
023016031011,023016031000,3031011,Złotów,6,1
023016031024,023016031023,3031024,Jastrowie,6,4
023016031034,023016031033,3031034,Krajenka,6,4
023016031054,023016031053,3031054,Okonek,6,4
023016116014,023016116013,3016014,Oborniki,6,4
023016116024,023016116023,3016024,Rogoźno,6,4
023016121011,023016121000,3021011,Luboń,6,1
023016121021,023016121000,3021021,Puszczykowo,6,1
023016121034,023016121033,3021034,Buk,6,4
023016121084,023016121083,3021084,Kostrzyn,6,4
