unit_id,parent_id,teryt_id,name,level,kind
011212001011,011212001000,1201011,Bochnia,6,1
011212001022,011212001000,1201022,Bochnia,6,2
011212001032,011212001000,1201032,Drwinia,6,2
011212001042,011212001000,1201042,Lipnica Murowana,6,2
011212001052,011212001000,1201052,Łapanów,6,2
011212001063,011212001000,1201063,Nowy Wiśnicz,6,3
011212001072,011212001000,1201072,Rzezawa,6,2
011212001082,011212001000,1201082,Trzciana,6,2
011212001092,011212001000,1201092,Żegocina,6,2
011212006012,011212006000,1206012,Czernichów,6,2
011212006022,011212006000,1206022,Igołomia-Wawrzeńczyce,6,2
011212006032,011212006000,1206032,Iwanowice,6,2
011212006042,011212006000,1206042,Jerzmanowice-Przeginia,6,2
011212006052,011212006000,1206052,Kocmyrzów-Luborzyca,6,2
011212006063,011212006000,1206063,Krzeszowice,6,3
011212006072,011212006000,1206072,Liszki,6,2
011212006082,011212006000,1206082,Michałowice,6,2
011212006092,011212006000,1206092,Mogilany,6,2
011212006103,011212006000,1206103,Skała,6,3
011212006113,011212006000,1206113,Skawina,6,3
011212006123,011212006000,1206123,Słomniki,6,3
011212006132,011212006000,1206132,Sułoszowa,6,2
011212006142,011212006000,1206142,Świątniki Górne,6,2
011212006143,011212006000,1206143,Świątniki Górne,6,3
011212006152,011212006000,1206152,Wielka Wieś,6,2
011212006162,011212006000,1206162,Zabierzów,6,2
011212006172,011212006000,1206172,Zielonki,6,2
011212008012,011212008000,1208012,Charsznica,6,2
011212008022,011212008000,1208022,Gołcza,6,2
011212008032,011212008000,1208032,Kozłów,6,2
011212008042,011212008000,1208042,Książ Wielki,6,2
011212008053,011212008000,1208053,Miechów,6,3
011212008062,011212008000,1208062,Racławice,6,2
011212008072,011212008000,1208072,Słaboszów,6,2
011212009013,011212009000,1209013,Dobczyce,6,3
011212009022,011212009000,1209022,Lubień,6,2
011212009033,011212009000,1209033,Myślenice,6,3
011212009042,011212009000,1209042,Pcim,6,2
011212009052,011212009000,1209052,Raciechowice,6,2
011212009062,011212009000,1209062,Siepraw,6,2
011212009073,011212009000,1209073,Sułkowice,6,3
011212009082,011212009000,1209082,Tokarnia,6,2
011212009092,011212009000,1209092,Wiśniowa,6,2
011212014012,011212014000,1214012,Koniusza,6,2
011212014022,011212014000,1214022,Koszyce,6,2
011212014023,011212014000,1214023,Koszyce,6,3
011212014032,011212014000,1214032,Nowe Brzesko,6,2
011212014033,011212014000,1214033,Nowe Brzesko,6,3
011212014042,011212014000,1214042,Pałecznica,6,2
011212014053,011212014000,1214053,Proszowice,6,3
011212014062,011212014000,1214062,Radziemice,6,2
011212019012,011212019000,1219012,Biskupice,6,2
011212019022,011212019000,1219022,Gdów,6,2
011212019032,011212019000,1219032,Kłaj,6,2
011212019043,011212019000,1219043,Niepołomice,6,3
011212019053,011212019000,1219053,Wieliczka,6,3
011212161011,011212161000,1261011,Kraków,6,1
011212205011,011212205000,1205011,Gorlice,6,1
011212205023,011212205000,1205023,Biecz,6,3
011212205032,011212205000,1205032,Bobowa,6,2
011212205033,011212205000,1205033,Bobowa,6,3
011212205042,011212205000,1205042,Gorlice,6,2
011212205052,011212205000,1205052,Lipinki,6,2
011212205062,011212205000,1205062,Łużna,6,2
011212205072,011212205000,1205072,Moszczenica,6,2
011212205082,011212205000,1205082,Ropa,6,2
011212205092,011212205000,1205092,Sękowa,6,2
011212205102,011212205000,1205102,Uście Gorlickie,6,2
011212207011,011212207000,1207011,Limanowa,6,1
011212207021,011212207000,1207021,Mszana Dolna,6,1
011212207032,011212207000,1207032,Dobra,6,2
011212207042,011212207000,1207042,Jodłownik,6,2
011212207052,011212207000,1207052,Kamienica,6,2
011212207062,011212207000,1207062,Laskowa,6,2
011212207072,011212207000,1207072,Limanowa,6,2
011212207082,011212207000,1207082,Łukowica,6,2
011212207092,011212207000,1207092,Mszana Dolna,6,2
011212207102,011212207000,1207102,Niedźwiedź,6,2
011212207112,011212207000,1207112,Słopnice,6,2
011212207122,011212207000,1207122,Tymbark,6,2
011212210011,011212210000,1210011,Grybów,6,1
011212210022,011212210000,1210022,Chełmiec,6,2
011212210032,011212210000,1210032,Gródek nad Dunajcem,6,2
011212210042,011212210000,1210042,Grybów,6,2
011212210052,011212210000,1210052,Kamionka Wielka,6,2
011212210062,011212210000,1210062,Korzenna,6,2
011212210073,011212210000,1210073,Krynica-Zdrój,6,3
011212210082,011212210000,1210082,Łabowa,6,2
011212210092,011212210000,1210092,Łącko,6,2
011212210102,011212210000,1210102,Łososina Dolna,6,2
011212210113,011212210000,1210113,Muszyna,6,3
011212210122,011212210000,1210122,Nawojowa,6,2
011212210133,011212210000,1210133,Piwniczna-Zdrój,6,3
011212210142,011212210000,1210142,Podegrodzie,6,2
011212210152,011212210000,1210152,Rytro,6,2
011212210163,011212210000,1210163,Stary Sącz,6,3
011212262011,011212262000,1262011,Nowy Sącz,6,1
011212303013,011212303000,1203013,Alwernia,6,3
011212303022,011212303000,1203022,Babice,6,2
011212303033,011212303000,1203033,Chrzanów,6,3
011212303043,011212303000,1203043,Libiąż,6,3
011212303053,011212303000,1203053,Trzebinia,6,3
011212312011,011212312000,1212011,Bukowno,6,1
011212312021,011212312000,1212021,Sławków,6,1
011212312032,011212312000,1212032,Bolesław,6,2
011212312042,011212312000,1212042,Klucze,6,2
011212312053,011212312000,1212053,Olkusz,6,3
011212312062,011212312000,1212062,Trzyciąż,6,2
011212312073,011212312000,1212073,Wolbrom,6,3
011212313011,011212313000,1213011,Oświęcim,6,1
011212313023,011212313000,1213023,Brzeszcze,6,3
011212313033,011212313000,1213033,Chełmek,6,3
011212313043,011212313000,1213043,Kęty,6,3
011212313052,011212313000,1213052,Osiek,6,2
011212313062,011212313000,1213062,Oświęcim,6,2
011212313072,011212313000,1213072,Polanka Wielka,6,2
011212313082,011212313000,1213082,Przeciszów,6,2
011212313093,011212313000,1213093,Zator,6,3
011212318013,011212318000,1218013,Andrychów,6,3
011212318022,011212318000,1218022,Brzeźnica,6,2
011212318033,011212318000,1218033,Kalwaria Zebrzydowska,6,3
011212318042,011212318000,1218042,Lanckorona,6,2
011212318052,011212318000,1218052,Mucharz,6,2
011212318062,011212318000,1218062,Spytkowice,6,2
011212318072,011212318000,1218072,Stryszów,6,2
011212318082,011212318000,1218082,Tomice,6,2
011212318093,011212318000,1218093,Wadowice,6,3
011212318102,011212318000,1218102,Wieprz,6,2
011212402012,011212402000,1202012,Borzęcin,6,2
011212402023,011212402000,1202023,Brzesko,6,3
011212402032,011212402000,1202032,Czchów,6,2
011212402033,011212402000,1202033,Czchów,6,3
011212402042,011212402000,1202042,Dębno,6,2
011212402052,011212402000,1202052,Gnojnik,6,2
011212402062,011212402000,1202062,Iwkowa,6,2
011212402072,011212402000,1202072,Szczurowa,6,2
011212404012,011212404000,1204012,Bolesław,6,2
011212404023,011212404000,1204023,Dąbrowa Tarnowska,6,3
011212404032,011212404000,1204032,Gręboszów,6,2
011212404042,011212404000,1204042,Mędrzechów,6,2
011212404052,011212404000,1204052,Olesno,6,2
011212404062,011212404000,1204062,Radgoszcz,6,2
011212404072,011212404000,1204072,Szczucin,6,2
011212404073,011212404000,1204073,Szczucin,6,3
011212416012,011212416000,1216012,Ciężkowice,6,2
011212416013,011212416000,1216013,Ciężkowice,6,3
011212416022,011212416000,1216022,Gromnik,6,2
011212416032,011212416000,1216032,Lisia Góra,6,2
011212416042,011212416000,1216042,Pleśna,6,2
011212416052,011212416000,1216052,Radłów,6,2
011212416053,011212416000,1216053,Radłów,6,3
011212416062,011212416000,1216062,Ryglice,6,2
011212416063,011212416000,1216063,Ryglice,6,3
011212416072,011212416000,1216072,Rzepiennik Strzyżewski,6,2
011212416082,011212416000,1216082,Skrzyszów,6,2
011212416092,011212416000,1216092,Tarnów,6,2
011212416103,011212416000,1216103,Tuchów,6,3
011212416112,011212416000,1216112,Wierzchosławice,6,2
011212416122,011212416000,1216122,Wietrzychowice,6,2
011212416132,011212416000,1216132,Wojnicz,6,2
011212416133,011212416000,1216133,Wojnicz,6,3
011212416142,011212416000,1216142,Zakliczyn,6,2
011212416143,011212416000,1216143,Zakliczyn,6,3
011212416153,011212416000,1216153,Żabno,6,3
011212416162,011212416000,1216162,Szerzyny,6,2
011212463011,011212463000,1263011,Tarnów,6,1
011216911011,011216911000,1211011,Nowy Targ,6,1
011216911021,011216911000,1211021,Szczawnica,6,1
011216911023,011216911000,1211023,Szczawnica,6,3
011216911032,011216911000,1211032,Czarny Dunajec,6,2
011216911042,011216911000,1211042,Czorsztyn,6,2
011216911052,011216911000,1211052,Jabłonka,6,2
011216911062,011216911000,1211062,Krościenko nad Dunajcem,6,2
011216911072,011216911000,1211072,Lipnica Wielka,6,2
011216911082,011216911000,1211082,Łapsze Niżne,6,2
011216911092,011216911000,1211092,Nowy Targ,6,2
011216911102,011216911000,1211102,Ochotnica Dolna,6,2
011216911112,011216911000,1211112,Raba Wyżna,6,2
011216911123,011216911000,1211123,Rabka-Zdrój,6,3
011216911132,011216911000,1211132,Spytkowice,6,2
011216911142,011216911000,1211142,Szaflary,6,2
011216915011,011216915000,1215011,Jordanów,6,1
011216915021,011216915000,1215021,Sucha Beskidzka,6,1
011216915032,011216915000,1215032,Budzów,6,2
011216915042,011216915000,1215042,Bystra-Sidzina,6,2
011216915052,011216915000,1215052,Jordanów,6,2
011216915063,011216915000,1215063,Maków Podhalański,6,3
011216915072,011216915000,1215072,Stryszawa,6,2
011216915082,011216915000,1215082,Zawoja,6,2
011216915092,011216915000,1215092,Zembrzyce,6,2
011216917011,011216917000,1217011,Zakopane,6,1
011216917022,011216917000,1217022,Biały Dunajec,6,2
011216917032,011216917000,1217032,Bukowina Tatrzańska,6,2
011216917042,011216917000,1217042,Kościelisko,6,2
011216917052,011216917000,1217052,Poronin,6,2
012414402011,012414402000,2402011,Szczyrk,6,1
012414402022,012414402000,2402022,Bestwina,6,2
012414402032,012414402000,2402032,Buczkowice,6,2
012414402043,012414402000,2402043,Czechowice-Dziedzice,6,3
012414402052,012414402000,2402052,Jasienica,6,2
012414402062,012414402000,2402062,Jaworze,6,2
012414402072,012414402000,2402072,Kozy,6,2
012414402082,012414402000,2402082,Porąbka,6,2
012414402093,012414402000,2402093,Wilamowice,6,3
012414402102,012414402000,2402102,Wilkowice,6,2
012414403011,012414403000,2403011,Cieszyn,6,1
012414403021,012414403000,2403021,Ustroń,6,1
012414403031,012414403000,2403031,Wisła,6,1
012414403042,012414403000,2403042,Brenna,6,2
012414403052,012414403000,2403052,Chybie,6,2
012414403062,012414403000,2403062,Dębowiec,6,2
012414403072,012414403000,2403072,Goleszów,6,2
012414403082,012414403000,2403082,Hażlach,6,2
012414403092,012414403000,2403092,Istebna,6,2
012414403103,012414403000,2403103,Skoczów,6,3
012414403113,012414403000,2403113,Strumień,6,3
012414403122,012414403000,2403122,Zebrzydowice,6,2
012414417011,012414417000,2417011,Żywiec,6,1
012414417022,012414417000,2417022,Czernichów,6,2
012414417032,012414417000,2417032,Gilowice,6,2
012414417042,012414417000,2417042,Jeleśnia,6,2
012414417052,012414417000,2417052,Koszarawa,6,2
012414417062,012414417000,2417062,Lipowa,6,2
012414417072,012414417000,2417072,Łękawica,6,2
012414417082,012414417000,2417082,Łodygowice,6,2
012414417092,012414417000,2417092,Milówka,6,2
012414417102,012414417000,2417102,Radziechowy-Wieprz,6,2
012414417112,012414417000,2417112,Rajcza,6,2
012414417122,012414417000,2417122,Ślemień,6,2
012414417132,012414417000,2417132,Świnna,6,2
012414417142,012414417000,2417142,Ujsoły,6,2
012414417152,012414417000,2417152,Węgierska Górka,6,2
012414461011,012414461000,2461011,Bielsko-Biała,6,1
012414507011,012414507000,2407011,Lubliniec,6,1
012414507022,012414507000,2407022,Boronów,6,2
012414507032,012414507000,2407032,Ciasna,6,2
012414507042,012414507000,2407042,Herby,6,2
012414507052,012414507000,2407052,Kochanowice,6,2
012414507062,012414507000,2407062,Koszęcin,6,2
012414507072,012414507000,2407072,Pawonków,6,2
012414507083,012414507000,2407083,Woźniki,6,3
012414513011,012414513000,2413011,Kalety,6,1
012414513021,012414513000,2413021,Miasteczko Śląskie,6,1
012414513031,012414513000,2413031,Radzionków,6,1
012414513041,012414513000,2413041,Tarnowskie Góry,6,1
012414513052,012414513000,2413052,Krupski Młyn,6,2
012414513062,012414513000,2413062,Ożarowice,6,2
012414513072,012414513000,2413072,Świerklaniec,6,2
012414513082,012414513000,2413082,Tworóg,6,2
012414513092,012414513000,2413092,Zbrosławice,6,2
012414562011,012414562000,2462011,Bytom,6,1
012414571011,012414571000,2471011,Piekary Śląskie,6,1
012414604013,012414604000,2404013,Blachownia,6,3
012414604022,012414604000,2404022,Dąbrowa Zielona,6,2
012414604032,012414604000,2404032,Janów,6,2
012414604042,012414604000,2404042,Kamienica Polska,6,2
012414604052,012414604000,2404052,Kłomnice,6,2
012414604063,012414604000,2404063,Koniecpol,6,3
012414604072,012414604000,2404072,Konopiska,6,2
012414604082,012414604000,2404082,Kruszyna,6,2
012414604092,012414604000,2404092,Lelów,6,2
012414604102,012414604000,2404102,Mstów,6,2
012414604112,012414604000,2404112,Mykanów,6,2
012414604122,012414604000,2404122,Olsztyn,6,2
012414604123,012414604000,2404123,Olsztyn,6,3
012414604132,012414604000,2404132,Poczesna,6,2
012414604142,012414604000,2404142,Przyrów,6,2
012414604152,012414604000,2404152,Rędziny,6,2
012414604162,012414604000,2404162,Starcza,6,2
012414606013,012414606000,2406013,Kłobuck,6,3
012414606023,012414606000,2406023,Krzepice,6,3
012414606032,012414606000,2406032,Lipie,6,2
012414606042,012414606000,2406042,Miedźno,6,2
012414606052,012414606000,2406052,Opatów,6,2
012414606062,012414606000,2406062,Panki,6,2
012414606072,012414606000,2406072,Popów,6,2
012414606082,012414606000,2406082,Przystajń,6,2
012414606092,012414606000,2406092,Wręczyca Wielka,6,2
